customer_id,order_cnt,max_order_date,total_order_value,day_since_last_order,recency_score,frequency_score,monetary_score,segment
12911,1,2010-06-06,1680.47,200,1,1,4,Hibernating
12913,7,2010-12-06,2761.27,17,5,4,5,Champion
12914,1,2010-11-04,223.98,49,3,1,1,About to Sleep
12915,7,2010-12-02,901.0,21,5,4,3,Champion
12916,3,2010-09-23,1647.87,91,2,3,4,At Risk
12917,6,2010-11-04,2242.0,49,3,4,5,Loyal Customers
12920,1,2010-05-17,184.96,220,1,1,1,Hibernating
12921,49,2010-12-08,17872.84,15,5,5,5,Champion
12923,2,2010-11-14,612.9,39,4,2,3,Potential Loyalists
12924,6,2010-11-12,718.25,41,4,4,3,Loyal Customers
12925,1,2010-04-26,35.28,241,1,1,1,Hibernating
12926,3,2010-10-24,1157.8,60,3,3,4,Need Attention
12927,1,2010-11-10,197.31,43,3,1,1,About to Sleep
12928,8,2010-12-15,2634.53,8,5,5,5,Champion
12931,33,2010-12-17,10446.5,6,5,5,5,Champion
12932,8,2010-06-18,1698.56,188,1,5,4,Can't Lose Them
12933,5,2010-11-24,941.41,29,4,4,4,Loyal Customers
12935,11,2010-11-30,2140.76,23,4,5,5,Loyal Customers
12937,3,2010-09-02,1278.77,112,2,3,4,At Risk
12939,10,2010-11-25,4400.04,28,4,5,5,Loyal Customers
12942,1,2010-12-09,258.75,14,5,1,2,New Customers
12943,3,2010-11-11,500.25,42,4,3,3,Potential Loyalists
12944,1,2010-12-20,286.95,3,5,1,2,New Customers
12945,1,2010-02-21,437.16,305,1,1,2,Hibernating
12946,1,2010-09-29,324.45,85,2,1,2,Hibernating
12947,2,2010-12-15,333.89,8,5,2,2,Potential Loyalists
12949,17,2010-11-22,9676.28,31,4,5,5,Loyal Customers
12951,12,2010-11-30,2176.9500000000003,23,4,5,5,Loyal Customers
12953,1,2010-07-05,498.96000000000004,171,1,1,3,Hibernating
12954,1,2010-03-11,162.45,287,1,1,1,Hibernating
12956,1,2010-01-24,137.12,333,1,1,1,Hibernating
12957,6,2010-06-16,3598.6800000000003,190,1,4,5,At Risk
12958,2,2010-11-04,539.49,49,3,2,3,About to Sleep
12959,2,2010-08-12,168.54999999999998,133,2,2,1,Hibernating
12960,4,2010-10-22,1271.67,62,3,3,4,Need Attention
12961,1,2010-11-25,211.99,28,4,1,1,Promising
12963,6,2010-12-09,1818.16,14,5,4,4,Champion
12964,1,2010-09-28,132.24,86,2,1,1,Hibernating
12967,3,2010-12-16,2938.52,7,5,3,5,Potential Loyalists
12969,1,2010-04-16,122.45,251,1,1,1,Hibernating
12970,5,2010-11-24,812.09,29,4,4,3,Loyal Customers
12971,36,2010-12-21,4248.530000000001,2,5,5,5,Champion
12972,6,2010-10-22,1206.45,62,3,4,4,Loyal Customers
12973,1,2010-10-22,385.55,62,3,1,2,About to Sleep
12974,1,2010-05-23,264.15,214,1,1,2,Hibernating
12975,7,2010-10-05,1764.56,79,2,4,4,At Risk
12976,7,2010-11-26,2417.7799999999997,27,4,4,5,Loyal Customers
12977,3,2010-07-26,478.39,150,2,3,3,At Risk
12978,4,2010-11-19,1557.24,34,4,3,4,Potential Loyalists
12980,12,2010-12-23,3510.3,0,5,5,5,Champion
12982,15,2010-11-16,2523.62,37,4,5,5,Loyal Customers
12983,1,2010-04-20,490.08000000000004,247,1,1,3,Hibernating
12986,12,2010-11-02,3468.09,51,3,5,5,Loyal Customers
12987,3,2010-10-15,753.51,69,3,3,3,Need Attention
12989,15,2010-12-10,3379.69,13,5,5,5,Champion
12990,4,2010-10-18,546.0,66,3,3,3,Need Attention
12991,1,2010-11-15,261.06,38,4,1,2,Promising
12993,6,2010-10-12,913.24,72,3,4,3,Loyal Customers
12996,1,2010-11-29,355.5,24,4,1,2,Promising
12997,8,2010-11-16,897.9200000000001,37,4,5,3,Loyal Customers
12998,4,2010-08-04,942.78,141,2,3,4,At Risk
13000,2,2010-12-10,269.25,13,5,2,2,Potential Loyalists
13001,20,2010-10-31,13493.550000000001,53,3,5,5,Loyal Customers
13002,2,2010-10-19,293.18,65,3,2,2,About to Sleep
13004,24,2010-12-17,6509.79,6,5,5,5,Champion
13005,3,2010-10-08,505.88,76,3,3,3,Need Attention
13007,1,2010-05-09,175.25,228,1,1,1,Hibernating
13008,4,2010-12-14,252.0,9,5,3,2,Potential Loyalists
13009,1,2010-02-05,234.0,321,1,1,1,Hibernating
13010,2,2010-11-30,330.12,23,4,2,2,Potential Loyalists
13011,1,2010-12-02,50.550000000000004,21,5,1,1,New Customers
13012,4,2010-10-06,1342.42,78,2,3,4,At Risk
13013,17,2010-12-03,7058.320000000001,20,5,5,5,Champion
13014,2,2010-10-08,1974.2,76,3,2,4,About to Sleep
13015,9,2010-10-07,3360.84,77,2,5,5,Can't Lose Them
13018,8,2010-11-03,2500.86,50,3,5,5,Loyal Customers
13019,6,2010-11-25,801.65,28,4,4,3,Loyal Customers
13020,5,2010-06-09,630.96,197,1,4,3,At Risk
13021,13,2010-12-16,2263.38,7,5,5,5,Champion
13023,1,2010-06-29,759.13,177,1,1,3,Hibernating
13024,3,2010-09-01,576.32,113,2,3,3,At Risk
13026,3,2010-08-08,421.74,137,2,3,2,At Risk
13027,3,2010-11-16,91.2,37,4,3,1,Potential Loyalists
13029,2,2010-11-30,679.8,23,4,2,3,Potential Loyalists
13030,1,2010-12-06,427.74,17,5,1,2,New Customers
13031,5,2010-10-28,3419.27,56,3,4,5,Loyal Customers
13032,8,2010-11-12,1845.67,41,4,5,4,Loyal Customers
13033,2,2010-12-17,220.55,6,5,2,1,Potential Loyalists
13034,2,2010-12-05,279.91,18,5,2,2,Potential Loyalists
13035,1,2010-10-04,442.32,80,2,1,2,Hibernating
13036,1,2010-01-24,307.1,333,1,1,2,Hibernating
13037,11,2010-11-05,2771.84,48,3,5,5,Loyal Customers
13039,3,2010-05-04,847.9300000000001,233,1,3,3,At Risk
13041,4,2010-09-15,799.13,99,2,3,3,At Risk
13042,3,2010-05-04,922.19,233,1,3,4,At Risk
13044,12,2010-08-04,4323.13,141,2,5,5,Can't Lose Them
13045,2,2010-11-03,503.64,50,3,2,3,About to Sleep
13046,1,2010-09-09,319.94,105,2,1,2,Hibernating
13047,26,2010-12-01,5421.32,22,4,5,5,Loyal Customers
13048,8,2010-09-29,2267.35,85,2,5,5,Can't Lose Them
13049,3,2010-11-15,775.6600000000001,38,4,3,3,Potential Loyalists
13050,33,2010-12-20,7430.61,3,5,5,5,Champion
13051,2,2010-05-10,155.8,227,1,2,1,Hibernating
13052,6,2010-10-15,2820.38,69,3,4,5,Loyal Customers
13053,1,2010-03-28,127.65,270,1,1,1,Hibernating
13054,1,2010-01-26,14.0,331,1,1,1,Hibernating
13055,2,2010-10-26,1122.85,58,3,2,4,About to Sleep
13056,1,2010-06-06,209.48,200,1,1,1,Hibernating
13057,4,2010-06-27,903.44,179,1,3,3,At Risk
13059,11,2010-10-22,2150.32,62,3,5,5,Loyal Customers
13063,1,2010-08-16,188.4,129,2,1,1,Hibernating
13064,2,2010-06-07,561.25,199,1,2,3,Hibernating
13065,6,2010-12-01,1060.0,22,4,4,4,Loyal Customers
13067,2,2010-10-26,393.05,58,3,2,2,About to Sleep
13069,18,2010-12-13,4263.99,10,5,5,5,Champion
13070,2,2010-09-06,368.7,108,2,2,2,Hibernating
13071,1,2010-04-06,129.22,261,1,1,1,Hibernating
13073,2,2010-10-24,418.08,60,3,2,2,About to Sleep
13074,4,2010-07-16,1081.3400000000001,160,2,3,4,At Risk
13076,1,2010-09-08,135.4,106,2,1,1,Hibernating
13077,9,2010-12-08,1720.06,15,5,5,4,Champion
13078,50,2010-12-15,15372.380000000001,8,5,5,5,Champion
13079,1,2010-10-18,199.08,66,3,1,1,About to Sleep
13080,4,2010-11-03,242.55,50,3,3,2,Need Attention
13081,24,2010-12-03,28995.57,20,5,5,5,Champion
13082,11,2010-10-11,2313.2200000000003,73,3,5,5,Loyal Customers
13083,1,2010-10-10,91.67999999999999,74,3,1,1,About to Sleep
13084,2,2010-08-09,128.35,136,2,2,1,Hibernating
13085,2,2010-01-29,920.4,328,1,2,3,Hibernating
13086,1,2010-11-22,439.33000000000004,31,4,1,2,Promising
13088,1,2010-10-18,236.11,66,3,1,1,About to Sleep
13089,130,2010-12-20,52461.93,3,5,5,5,Champion
13090,12,2010-12-09,2854.65,14,5,5,5,Champion
13092,10,2010-12-15,1962.8500000000001,8,5,5,4,Champion
13093,73,2010-12-16,42925.94,7,5,5,5,Champion
13094,2,2010-12-06,505.8,17,5,2,3,Potential Loyalists
13097,23,2010-12-14,6829.96,9,5,5,5,Champion
13101,3,2010-07-29,594.21,147,2,3,3,At Risk
13102,17,2010-12-14,5798.93,9,5,5,5,Champion
13103,2,2010-09-28,465.70000000000005,86,2,2,2,Hibernating
13104,4,2010-12-20,712.38,3,5,3,3,Potential Loyalists
13105,1,2010-09-29,72.0,85,2,1,1,Hibernating
13106,1,2010-10-22,526.96,62,3,1,3,About to Sleep
13107,9,2010-10-26,3839.7,58,3,5,5,Loyal Customers
13108,2,2010-12-02,748.46,21,5,2,3,Potential Loyalists
13109,2,2010-06-08,354.24,198,1,2,2,Hibernating
13110,5,2010-09-28,1131.52,86,2,4,4,At Risk
13112,2,2010-06-16,38.690000000000005,190,1,2,1,Hibernating
13113,22,2010-12-08,6318.889999999999,15,5,5,5,Champion
13115,10,2010-12-08,3231.02,15,5,5,5,Champion
13117,13,2010-12-09,1660.6,14,5,5,4,Champion
13118,5,2010-11-28,1226.1,25,4,4,4,Loyal Customers
13119,1,2010-02-09,134.9,317,1,1,1,Hibernating
13123,2,2010-08-24,506.75,121,2,2,3,Hibernating
13124,2,2010-12-15,2172.44,8,5,2,5,Potential Loyalists
13125,1,2010-07-04,158.57,172,1,1,1,Hibernating
13126,11,2010-12-08,1951.04,15,5,5,4,Champion
13128,1,2010-03-18,263.5,280,1,1,2,Hibernating
13129,2,2010-09-13,233.25,101,2,2,1,Hibernating
13131,4,2010-10-17,2240.47,67,3,3,5,Need Attention
13133,1,2010-09-06,90.65,108,2,1,1,Hibernating
13134,2,2010-11-02,681.65,51,3,2,3,About to Sleep
13135,1,2010-08-05,275.45,140,2,1,2,Hibernating
13136,12,2010-12-09,3250.7400000000002,14,5,5,5,Champion
13137,8,2010-11-18,4062.29,35,4,5,5,Loyal Customers
13138,3,2010-12-02,517.6,21,5,3,3,Potential Loyalists
13139,1,2010-09-28,3077.56,86,2,1,5,Hibernating
13140,3,2010-12-08,791.96,15,5,3,3,Potential Loyalists
13141,13,2010-11-19,5050.48,34,4,5,5,Loyal Customers
13143,2,2010-05-06,411.0,231,1,2,2,Hibernating
13144,1,2010-10-04,24.4,80,2,1,1,Hibernating
13145,4,2010-12-02,805.0,21,5,3,3,Potential Loyalists
13148,20,2010-12-21,5074.31,2,5,5,5,Champion
13150,4,2010-08-26,464.92,119,2,3,2,At Risk
13151,3,2010-03-24,1384.42,274,1,3,4,At Risk
13152,9,2010-10-18,2177.78,66,3,5,5,Loyal Customers
13154,3,2010-11-05,1303.29,48,3,3,4,Need Attention
13155,3,2010-12-06,778.42,17,5,3,3,Potential Loyalists
13156,3,2010-11-19,1586.54,34,4,3,4,Potential Loyalists
13157,5,2010-10-26,3946.14,58,3,4,5,Loyal Customers
13158,1,2010-11-16,307.12,37,4,1,2,Promising
13161,1,2010-07-27,366.13,149,2,1,2,Hibernating
13162,12,2010-11-24,6116.84,29,4,5,5,Loyal Customers
13163,2,2010-04-08,35.3,259,1,2,1,Hibernating
13164,3,2010-05-19,446.94,218,1,3,2,At Risk
13165,2,2010-12-23,784.32,0,5,2,3,Potential Loyalists
13166,1,2010-10-21,466.98,63,3,1,2,About to Sleep
13167,1,2010-11-14,333.82,39,4,1,2,Promising
13168,1,2010-06-15,556.12,191,1,1,3,Hibernating
13169,1,2010-05-26,127.2,211,1,1,1,Hibernating
13172,1,2010-11-04,69.6,49,3,1,1,About to Sleep
13173,10,2010-12-07,1991.95,16,5,5,5,Champion
13174,9,2010-12-05,6047.42,18,5,5,5,Champion
13175,2,2010-06-03,539.9,203,1,2,3,Hibernating
13177,1,2010-10-05,229.75,79,2,1,1,Hibernating
13178,14,2010-12-14,8486.23,9,5,5,5,Champion
13179,1,2010-03-31,572.3100000000001,267,1,1,3,Hibernating
13180,1,2010-04-11,86.10000000000001,256,1,1,1,Hibernating
13181,1,2010-11-23,359.69,30,4,1,2,Promising
13183,9,2010-11-10,3103.7000000000003,43,3,5,5,Loyal Customers
13187,4,2010-03-25,149.69,273,1,3,1,At Risk
13190,3,2010-06-13,475.46,193,1,3,3,At Risk
13191,1,2010-02-19,164.69,307,1,1,1,Hibernating
13192,6,2010-07-09,1660.69,167,1,4,4,At Risk
13194,1,2010-10-14,412.08,70,3,1,2,About to Sleep
13195,1,2010-10-21,172.38,63,3,1,1,About to Sleep
13196,4,2010-09-22,1280.26,92,2,3,4,At Risk
13197,1,2010-04-09,373.01000000000005,258,1,1,2,Hibernating
13198,6,2010-12-14,2013.29,9,5,4,5,Champion
13199,31,2010-12-16,4938.28,7,5,5,5,Champion
13201,4,2010-07-25,1240.6100000000001,151,2,3,4,At Risk
13202,7,2010-11-26,1269.05,27,4,4,4,Loyal Customers
13203,6,2010-11-18,1456.59,35,4,4,4,Loyal Customers
13206,11,2010-11-04,5969.15,49,3,5,5,Loyal Customers
13207,2,2010-09-14,285.6,100,2,2,2,Hibernating
13208,2,2010-09-16,703.48,98,2,2,3,Hibernating
13209,7,2010-12-16,2950.75,7,5,4,5,Champion
13211,7,2010-12-13,1406.76,10,5,4,4,Champion
13213,8,2010-11-26,2345.69,27,4,5,5,Loyal Customers
13214,7,2010-10-18,3264.23,66,3,4,5,Loyal Customers
13215,1,2010-11-02,81.6,51,3,1,1,About to Sleep
13219,1,2010-03-31,76.23,267,1,1,1,Hibernating
13220,1,2010-05-13,516.8,224,1,1,3,Hibernating
13221,1,2010-12-15,498.16,8,5,1,3,New Customers
13222,1,2010-05-11,88.5,226,1,1,1,Hibernating
13223,4,2010-10-12,805.9200000000001,72,3,3,3,Need Attention
13225,9,2010-12-13,7769.25,10,5,5,5,Champion
13226,1,2010-11-11,204.25,42,4,1,1,Promising
13230,17,2010-12-09,3553.81,14,5,5,5,Champion
13233,2,2010-10-15,571.34,69,3,2,3,About to Sleep
13234,1,2010-02-05,118.10000000000001,321,1,1,1,Hibernating
13237,1,2010-11-17,643.0,36,4,1,3,Promising
13238,3,2010-12-14,397.05,9,5,3,2,Potential Loyalists
13239,5,2010-09-28,1279.98,86,2,4,4,At Risk
13240,6,2010-12-09,1152.22,14,5,4,4,Champion
13241,1,2010-10-24,115.58,60,3,1,1,About to Sleep
13242,4,2010-09-14,429.0,100,2,3,2,At Risk
13243,4,2010-09-16,677.97,98,2,3,3,At Risk
13245,1,2010-10-03,558.72,81,2,1,3,Hibernating
13246,7,2010-11-11,1444.68,42,4,4,4,Loyal Customers
13249,6,2010-11-03,897.52,50,3,4,3,Loyal Customers
13250,3,2010-09-13,263.54,101,2,3,2,At Risk
13251,1,2010-11-02,252.68,51,3,1,2,About to Sleep
13252,3,2010-11-10,457.3,43,3,3,2,Need Attention
13253,2,2010-10-05,1920.71,79,2,2,4,Hibernating
13254,1,2010-11-28,51.410000000000004,25,4,1,1,Promising
13255,2,2010-12-01,504.95,22,4,2,3,Potential Loyalists
13257,3,2010-10-08,181.55,76,3,3,1,Need Attention
13258,2,2010-11-25,336.59999999999997,28,4,2,2,Potential Loyalists
13259,8,2010-11-07,1141.06,46,3,5,4,Loyal Customers
13262,2,2010-11-15,373.16,38,4,2,2,Potential Loyalists
13263,4,2010-11-11,1250.6200000000001,42,4,3,4,Potential Loyalists
13264,1,2010-09-23,722.5600000000001,91,2,1,3,Hibernating
13266,11,2010-12-15,2052.98,8,5,5,5,Champion
13267,26,2010-12-20,5101.38,3,5,5,5,Champion
13269,12,2010-12-13,3329.59,10,5,5,5,Champion
13274,1,2010-10-26,360.85,58,3,1,2,About to Sleep
13275,2,2010-11-21,241.66,32,4,2,2,Potential Loyalists
13276,5,2010-11-07,1369.03,46,3,4,4,Loyal Customers
13277,3,2010-11-24,264.9,29,4,3,2,Potential Loyalists
13278,4,2010-11-05,900.77,48,3,3,3,Need Attention
13280,5,2010-11-25,1533.27,28,4,4,4,Loyal Customers
13281,3,2010-09-28,395.25,86,2,3,2,At Risk
13282,1,2010-10-29,181.05,55,3,1,1,About to Sleep
13283,2,2010-05-21,279.7,216,1,2,2,Hibernating
13285,2,2010-04-18,655.47,249,1,2,3,Hibernating
13286,1,2010-04-18,734.91,249,1,1,3,Hibernating
13287,7,2010-05-05,1043.51,232,1,4,4,At Risk
13288,5,2010-09-22,597.3,92,2,4,3,At Risk
13290,3,2010-10-05,625.89,79,2,3,3,At Risk
13291,10,2010-10-21,2959.73,63,3,5,5,Loyal Customers
13292,4,2010-10-25,422.29,59,3,3,2,Need Attention
13293,6,2010-11-12,1192.94,41,4,4,4,Loyal Customers
13294,1,2010-03-03,815.79,295,1,1,3,Hibernating
13295,9,2010-12-15,1142.67,8,5,5,4,Champion
13296,5,2010-10-12,705.11,72,3,4,3,Loyal Customers
13297,4,2010-11-19,2294.72,34,4,3,5,Potential Loyalists
13299,4,2010-10-22,1121.6000000000001,62,3,3,4,Need Attention
13300,3,2010-11-16,925.32,37,4,3,4,Potential Loyalists
13302,1,2010-07-01,95.45,175,1,1,1,Hibernating
13303,1,2010-11-04,61.72,49,3,1,1,About to Sleep
13304,7,2010-12-23,1315.19,0,5,4,4,Champion
13305,7,2010-12-02,1753.85,21,5,4,4,Champion
13306,1,2010-10-05,53.65,79,2,1,1,Hibernating
13307,2,2010-08-09,258.34,136,2,2,2,Hibernating
13308,1,2010-04-22,284.86,245,1,1,2,Hibernating
13309,1,2010-11-12,249.58,41,4,1,2,Promising
13310,2,2010-11-24,409.17,29,4,2,2,Potential Loyalists
13312,1,2010-09-14,124.75,100,2,1,1,Hibernating
13313,7,2010-08-17,1519.66,128,2,4,4,At Risk
13315,1,2010-01-19,310.26,338,1,1,2,Hibernating
13316,7,2010-11-12,5377.84,41,4,4,5,Loyal Customers
13317,23,2010-12-16,4317.591,7,5,5,5,Champion
13319,45,2010-12-21,10985.130000000001,2,5,5,5,Champion
13320,3,2010-10-07,689.55,77,2,3,3,At Risk
13324,12,2010-12-14,3330.97,9,5,5,5,Champion
13326,1,2010-10-03,281.76,81,2,1,2,Hibernating
13327,14,2010-12-09,5465.8,14,5,5,5,Champion
13329,12,2010-12-20,4125.27,3,5,5,5,Champion
13330,3,2010-09-10,1665.25,104,2,3,4,At Risk
13331,1,2010-11-03,262.4,50,3,1,2,About to Sleep
13333,3,2010-10-24,1015.74,60,3,3,4,Need Attention
13334,3,2010-06-21,2733.68,185,1,3,5,At Risk
13337,2,2010-07-09,1601.97,167,1,2,4,Hibernating
13338,7,2010-06-24,2125.4,182,1,4,5,At Risk
13340,4,2010-10-18,7414.08,66,3,3,5,Need Attention
13342,1,2010-05-06,14.100000000000001,231,1,1,1,Hibernating
13346,6,2010-09-03,299.4,111,2,4,2,At Risk
13353,1,2010-11-16,28.849999999999998,37,4,1,1,Promising
13357,4,2010-08-02,3228.41,143,2,3,5,At Risk
13359,2,2010-11-11,636.8000000000001,42,4,2,3,Potential Loyalists
13360,7,2010-10-07,1643.2,77,2,4,4,At Risk
13361,2,2010-08-24,1450.5,121,2,2,4,Hibernating
13362,5,2010-11-26,2334.58,27,4,4,5,Loyal Customers
13363,1,2010-10-26,731.36,58,3,1,3,About to Sleep
13365,1,2010-11-11,26.9,42,4,1,1,Promising
13367,1,2010-10-04,510.20000000000005,80,2,1,3,Hibernating
13368,3,2010-10-21,533.5,63,3,3,3,Need Attention
13369,2,2010-12-20,352.81,3,5,2,2,Potential Loyalists
13370,2,2010-12-08,788.4200000000001,15,5,2,3,Potential Loyalists
13371,4,2010-07-29,2323.86,147,2,3,5,At Risk
13373,2,2010-10-20,3466.04,64,3,2,5,About to Sleep
13374,2,2010-10-21,422.8,63,3,2,2,About to Sleep
13375,1,2010-09-21,1013.58,93,2,1,4,Hibernating
13377,4,2010-11-08,1610.33,45,3,3,4,Need Attention
13380,1,2010-10-03,62.4,81,2,1,1,Hibernating
13381,6,2010-11-25,4578.26,28,4,4,5,Loyal Customers
13382,3,2010-10-07,909.5500000000001,77,2,3,3,At Risk
13384,6,2010-11-14,2544.9900000000002,39,4,4,5,Loyal Customers
13386,2,2010-10-21,835.46,63,3,2,3,About to Sleep
13387,1,2010-10-18,189.44,66,3,1,1,About to Sleep
13388,1,2010-04-15,508.55,252,1,1,3,Hibernating
13392,1,2010-01-31,91.14,326,1,1,1,Hibernating
13393,4,2010-05-05,767.35,232,1,3,3,At Risk
13394,12,2010-11-25,3862.25,28,4,5,5,Loyal Customers
13395,2,2010-11-04,751.55,49,3,2,3,About to Sleep
13397,7,2010-09-28,1632.55,86,2,4,4,At Risk
13398,1,2010-09-17,213.0,97,2,1,1,Hibernating
13399,3,2010-09-01,275.4,113,2,3,2,At Risk
13400,2,2010-05-14,320.73,223,1,2,2,Hibernating
13402,3,2010-12-02,913.9000000000001,21,5,3,3,Potential Loyalists
13403,1,2010-11-17,75.9,36,4,1,1,Promising
13405,5,2010-08-23,512.15,122,2,4,3,At Risk
13406,3,2010-10-08,580.62,76,3,3,3,Need Attention
13407,6,2010-05-10,2377.51,227,1,4,5,At Risk
13408,53,2010-12-16,22816.752,7,5,5,5,Champion
13410,4,2010-11-11,1133.08,42,4,3,4,Potential Loyalists
13412,1,2010-03-29,487.34999999999997,269,1,1,3,Hibernating
13413,8,2010-03-10,513.08,288,1,5,3,Can't Lose Them
13414,3,2010-09-02,713.64,112,2,3,3,At Risk
13415,4,2010-08-24,436.0,121,2,3,2,At Risk
13417,5,2010-06-10,1104.26,196,1,4,4,At Risk
13418,18,2010-12-15,6286.24,8,5,5,5,Champion
13421,8,2010-10-29,2264.24,55,3,5,5,Loyal Customers
13423,1,2010-10-07,217.03,77,2,1,1,Hibernating
13424,2,2010-09-21,587.62,93,2,2,3,Hibernating
13425,5,2010-07-19,1807.1200000000001,157,2,4,4,At Risk
13426,11,2010-12-15,3920.77,8,5,5,5,Champion
13427,2,2010-08-19,327.93,126,2,2,2,Hibernating
13428,2,2010-07-13,281.51,163,2,2,2,Hibernating
13431,7,2010-10-29,2074.14,55,3,4,5,Loyal Customers
13432,2,2010-05-17,439.1,220,1,2,2,Hibernating
13433,5,2010-09-28,659.77,86,2,4,3,At Risk
13434,3,2010-11-19,1132.6200000000001,34,4,3,4,Potential Loyalists
13435,2,2010-11-28,665.34,25,4,2,3,Potential Loyalists
13438,1,2010-06-10,46.5,196,1,1,1,Hibernating
13439,2,2010-11-16,702.9,37,4,2,3,Potential Loyalists
13440,10,2010-10-12,1376.55,72,3,5,4,Loyal Customers
13441,1,2010-10-04,424.26,80,2,1,2,Hibernating
13442,2,2010-02-10,221.87,316,1,2,1,Hibernating
13443,7,2010-09-17,1312.6100000000001,97,2,4,4,At Risk
13444,2,2010-11-30,631.6800000000001,23,4,2,3,Potential Loyalists
13445,1,2010-03-23,241.89999999999998,275,1,1,2,Hibernating
13446,18,2010-10-15,4154.92,69,3,5,5,Loyal Customers
13448,9,2010-12-13,4608.28,10,5,5,5,Champion
13450,8,2010-11-30,2078.82,23,4,5,5,Loyal Customers
13451,7,2010-11-23,4226.02,30,4,4,5,Loyal Customers
13452,1,2010-08-24,139.8,121,2,1,1,Hibernating
